_id,month,street,direction,from_intersection,to_intersection,day_type,time_period,baseline_travel_time,average_travel_time
139,Dec '17,Bathurst,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),5.0,4.3
140,Dec '17,Bathurst,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),4.1,3.6
141,Dec '17,Bathurst,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),5.3,5.4
142,Dec '17,Bathurst,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),5.4,5.2
143,Dec '17,Bathurst,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),5.6,5.8
144,Dec '17,Bathurst,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),6.1,6.1
145,Dec '17,Bathurst,Northbound,Front,Dundas,Weekend,Afternoon (12:00-17:00),5.5,5.1
146,Dec '17,Bathurst,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),5.3,5.0
147,Dec '17,Bathurst,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),4.2,4.0
148,Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,AM Peak (07:00-10:00),10.6,10.3
149,Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,Evening (19:00-23:00),11.7,11.4
150,Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,Midday (10:00-16:00),13.2,13.3
151,Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,PM Peak (16:00-19:00),13.7,15.2
152,Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Afternoon (12:00-17:00),13.3,13.0
153,Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Evening (17:00-23:00),12.9,13.3
154,Dec '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Morning (08:00-12:00),8.8,8.2
155,Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,AM Peak (07:00-10:00),9.4,9.4
156,Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,Evening (19:00-23:00),12.3,11.6
157,Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,Midday (10:00-16:00),13.8,13.6
158,Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,PM Peak (16:00-19:00),15.1,14.7
159,Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekend,Afternoon (12:00-17:00),13.9,13.3
160,Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekend,Evening (17:00-23:00),14.1,13.6
161,Dec '17,Dundas,Westbound,Jarvis,Bathurst,Weekend,Morning (08:00-12:00),9.4,9.0
162,Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekday,AM Peak (07:00-10:00),11.9,11.1
163,Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekday,Evening (19:00-23:00),11.5,11.2
164,Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekday,Midday (10:00-16:00),11.8,12.1
165,Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekday,PM Peak (16:00-19:00),17.3,17.1
166,Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekend,Afternoon (12:00-17:00),11.1,10.5
167,Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekend,Evening (17:00-23:00),12.4,11.9
168,Dec '17,Front,Eastbound,Bathurst,Jarvis,Weekend,Morning (08:00-12:00),8.5,8.2
169,Dec '17,Front,Westbound,Yonge,Bathurst,Weekday,AM Peak (07:00-10:00),9.0,8.7
170,Dec '17,Front,Westbound,Yonge,Bathurst,Weekday,Evening (19:00-23:00),10.1,10.5
171,Dec '17,Front,Westbound,Yonge,Bathurst,Weekday,Midday (10:00-16:00),9.7,10.5
172,Dec '17,Front,Westbound,Yonge,Bathurst,Weekday,PM Peak (16:00-19:00),14.3,14.9
173,Dec '17,Front,Westbound,Yonge,Bathurst,Weekend,Afternoon (12:00-17:00),8.9,8.6
174,Dec '17,Front,Westbound,Yonge,Bathurst,Weekend,Evening (17:00-23:00),10.4,10.0
175,Dec '17,Front,Westbound,Yonge,Bathurst,Weekend,Morning (08:00-12:00),8.5,7.3
176,Dec '17,Jarvis,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),4.1,3.7
177,Dec '17,Jarvis,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),3.9,3.6
178,Dec '17,Jarvis,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),6.0,6.3
179,Dec '17,Jarvis,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),8.5,9.7
180,Dec '17,Jarvis,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),4.6,4.3
181,Dec '17,Jarvis,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),3.7,3.9
182,Dec '17,Jarvis,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),3.8,3.5
183,Dec '17,Jarvis,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),4.7,4.2
184,Dec '17,Jarvis,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),4.5,4.3
